node,agg_score,fan_in_smurf,mule_hub,new_device_high_amount,device_ip_entropy,rapid_outgoing_spike,recurring_tester_tx,app_payee_mismatch,synthetic_identity_burst
A_00000,0.6477050185203552,0.044822048395872116,0.8543391823768616,0.9967793822288513,0.2742948830127716,0.8527039289474487,0.1168697252869606,0.8404712080955505,0.9581671953201294
A_00001,0.42260196805000305,0.8537887930870056,0.26554059982299805,0.4877002537250519,0.41742491722106934,0.13667629659175873,0.6467472314834595,0.25687476992607117,0.3375611901283264
A_00002,0.4832274615764618,0.7843406796455383,0.38667529821395874,0.4349691569805145,0.6232631206512451,0.23858791589736938,0.5782325267791748,0.3831157684326172,0.48980557918548584
A_00003,0.6010173559188843,0.21606865525245667,0.7007208466529846,0.8531333208084106,0.4906083643436432,0.6695395112037659,0.3268834352493286,0.6295326352119446,0.8086293935775757
A_00004,0.8557041883468628,0.9994575381278992,0.8974195718765259,0.9924201369285583,0.889286994934082,0.9332996010780334,0.995559573173523,0.8148012161254883,0.15678958594799042
A_00005,0.6170196533203125,0.16177037358283997,0.742711067199707,0.9925965070724487,0.29435083270072937,0.7129768133163452,0.24553290009498596,0.7112363576889038,0.8731831908226013
A_00006,0.4071630537509918,0.7920995950698853,0.2680262327194214,0.30131006240844727,0.6461173892021179,0.18969491124153137,0.6636554598808289,0.2498818039894104,0.24883081018924713
A_00007,0.4856494665145874,0.2638879418373108,0.4157881736755371,0.9540902972221375,0.4786149263381958,0.6019970178604126,0.6548568606376648,0.2560245096683502,0.14066264033317566
A_00008,0.42172425985336304,0.5106652975082397,0.354518860578537,0.4121435284614563,0.5998469591140747,0.2859475612640381,0.49685072898864746,0.32440534234046936,0.452731728553772
A_00009,0.4695753753185272,0.3640434443950653,0.29625043272972107,0.9795448780059814,0.29435083270072937,0.4746645987033844,0.4167807698249817,0.47583243250846863,0.2237362563610077
A_00010,0.48884499073028564,0.23997367918491364,0.5239492058753967,0.9477599263191223,0.3822593688964844,0.4707834720611572,0.5732398629188538,0.22825589776039124,0.45248115062713623
A_00011,0.48413774371147156,0.7935534119606018,0.346096396446228,0.44384756684303284,0.6898042559623718,0.3208469748497009,0.657435417175293,0.38813844323158264,0.271884948015213
A_00012,0.44198086857795715,0.9641813039779663,0.18489937484264374,0.565082311630249,0.41742491722106934,0.10901287943124771,0.7057469487190247,0.36536872386932373,0.19173480570316315
A_00013,0.5605925917625427,0.45316940546035767,0.6013283133506775,0.9609096050262451,0.40579530596733093,0.4786013066768646,0.6253842115402222,0.31366050243377686,0.5491557121276855
A_00014,0.5495603084564209,0.6145992875099182,0.38940632343292236,0.9852103590965271,0.29435083270072937,0.4497264325618744,0.44444406032562256,0.5939963459968567,0.3852556347846985
A_00015,0.9089016318321228,0.9987278580665588,0.9704940319061279,0.9346885085105896,0.9576064944267273,0.9736658930778503,0.9943656921386719,0.8799843192100525,0.47750765085220337
A_00016,0.5885436534881592,0.7258997559547424,0.4834684133529663,0.704875648021698,0.5759656429290771,0.36837732791900635,0.38292255997657776,0.6725490093231201,0.696686863899231
A_00017,0.4800659716129303,0.7900421023368835,0.2853713631629944,0.9375981092453003,0.3152362108230591,0.20217886567115784,0.6803361773490906,0.24422308802604675,0.24195566773414612
A_00018,0.5361170172691345,0.3448263704776764,0.457345187664032,0.9848736524581909,0.3152362108230591,0.5792430639266968,0.421328067779541,0.5495008230209351,0.4288814067840576
